user,repo,repo_size,contributors,duration,status,timestamp,artifacts,failed_tests,total_tests,info_logs,warning_logs,memory_used,memory_total,resources,is_seq,slaves
aisrael,jcombinatorics,426,1,22100,FAILURE,1493595546561,0,0,41,198,0,21,51,,FALSE,9
aisrael,junit,4656,7,35706,UNSTABLE,1493595556233,0,7,236,132,14,20,54,,FALSE,9
aisrael,junit-rules,1102,1,46376,FAILURE,1493595560466,0,0,0,460,0,18,43,,FALSE,9
aisrael,swing-revival,224,1,11158,FAILURE,1493595562337,0,0,0,28,13,11,26,,FALSE,9
a-iv,android-rss,198,2,22011,UNSTABLE,1493595113255,0,1,24,74,0,19,46,,FALSE,9
ajaykoppisetty,acra,3429,8,12833,FAILURE,1493595568707,0,0,0,87,0,17,41,,FALSE,9
AjayKumarR,fortressdemo1,384,2,54667,FAILURE,1493595573505,0,0,0,622,18,35,82,7.0,FALSE,9
AjayKumarR,gaeshiro,1527,1,37367,SUCCESS,1493595581566,0,0,4,341,1,26,64,23.0,FALSE,9
AjayKumarR,PlexRBAC,292,1,694118,FAILURE,1493595591975,0,0,0,1557,31,33,83,10.0,FALSE,9
ajf8,seam-booking-ogm,4052,1,1633,FAILURE,1493595606869,0,0,0,0,0,,,,FALSE,9
akarpe,openshift-demo,132,1,129562,FAILURE,1493595608528,0,0,0,1092,0,39,93,,FALSE,9
akiwarheit,java-security-lib,156,1,17222,SUCCESS,1493595618957,0,0,1,44,4,17,41,,FALSE,9
akkumar,async-http-client,4740,22,310874,UNSTABLE,1493595622380,0,34,515,1273,12,33,89,10.0,FALSE,9
akkumar,hbasene,10598,1,21561,FAILURE,1493595628207,0,0,0,58,10,11,26,,FALSE,9
akkumar,jreversepro,771,0,21564,SUCCESS,1493595636195,0,0,3,66,2,21,51,,FALSE,9
akkumar,LittleProxy,1018,10,31610,UNSTABLE,1493595642412,0,1,23,772,4,28,66,4.0,FALSE,9
akkumar,riak-java-client,5358,18,47797,SUCCESS,1493595649776,0,0,418,78,14,24,10,,FALSE,9
akshayaaradhya,storm-pattern,1588,4,22028,SUCCESS,1493595657777,0,0,2,376,4,21,51,,FALSE,9
akshaykarle,dropwizard-snapci-sample,185,2,27797,UNSTABLE,1493595669089,0,1,14,441,0,25,72,,FALSE,9
akshayv,Hout-ServerSide,388,5,17800,SUCCESS,1493595674049,0,0,0,252,0,18,45,3.0,FALSE,9
alegrm,pignlproc,989,2,11439,FAILURE,1493595679823,0,0,0,279,9,11,28,,FALSE,9
alexeyr,labs-paxexam-karaf-bundle-reference-test,88,1,34825,UNSTABLE,1493595691282,0,1,1,665,3,25,62,,FALSE,9
AlfioEmanueleFresta,socket.io-client.java,694,4,16193,FAILURE,1493595691872,0,0,0,237,2,20,49,6.0,FALSE,9
almagest14,jdbc-template-one-to-many,108,1,19039,SUCCESS,1493595696895,0,0,2,95,12,19,48,3.0,FALSE,9
almagest14,nomats,142,1,45170,ABORTED,1493595697445,0,0,0,139,0,,,,FALSE,9
almagest14,spring-ex01,172,1,12665,FAILURE,1493595708076,0,0,0,246,2,14,34,,FALSE,9
