User,Repo,Size (KB),Number of Contributors
GlenKPeterson,LearnFpJava,4440,1
GlenKPeterson,PdfLayoutManager,488,2
GlennAustin,xcode-plugin,733,19
gobijan,spark,1138,21
goletaworks,BbScripting,188,1
gopan1785,javaApp,116,1
GorillaTester,junit,8408,66
gowthamnatarajan,j-google-trends-client,1916,1
gpaffett,boningup,140,0
gpaffett,MonetaryUtilities,112,0
gpaffett,squidgie,112,0
gpstathis,hbase-transactional-tableindexed,234,1
grafft,rb-image,250300,1
grahamoregan,dex-rest,108,1
grahamoregan,docr,160,1
grahamoregan,github-plugin,226,23
grahamoregan,scribe-java,960,40
Grooblesign,FamilyHistory,176,1
gsccs,starflow,263,1
gtrujillop,JavaSpringMVCTest,132,0
gulkily,Selenium-Utilities,195,2
harishminchu,appengine-angular-guestbook-java,380,2
harishminchu,ddd-cqrs-sample,567,2
harishpillay,DroidAtScreen1,570,3
heaton,Trivia,684,1
hedrickbt,cvs-plugin,333,3
henriksen,DAT210V14TDD,105,1
henry4j,acra,612,1
henry4j,kxml-3.1,132,1
henry4j,maki4j,388,1
henry4j,netflix-java-client-2.2,249,1
herimedia,gitminer,819,4
heuermh,blend4j,310,3
heuermh,findbugs-guice,153,2
heuermh,galaxy-bootstrap,195,1
heuermh,googlegenomics-api-provider-local-java,1062,4
hgdeoro,daedalus-java-client,128,1
hgdeoro,ejemplo-rest-java-php,1312,1
hnflee,hibernate-memcached,250,6
hnflee,NLPWithMahout,3633,1
hoccer,java-apns,1170,13
holmes,okhttp,174,5
homonecloco,TgacConanProcs,1790,0
horiga,camel-spring-amqp,584,11
horiga,esper-realtimeaccess-mon-example,152,1
horiga,guava-examples,128,0
horiga,nettrest,120,1
horiga,netty4-http-server,144,1
horiga,netty-rpc-server,144,1
horiga,spring-boot-study,168,1
horiga,spring-rabbitmq-study,128,0
horiga,spring-webapp-common,120,0
horiga,study-simple-springboot,140,1
horn3t,jtar,204,3
hornetq,ProtonPlug,508,2
houssoli,apache-hadoop-wordcount,120,1
houssoli,configurationslicing-plugin,274,3
houssoli,cxf-poc,94,1
houssoli,devkit-documentation-rest-jersey,135,1
houssoli,java8-examples,232,3
houssoli,jbehave-junit-runner,1730,6
houssoli,Jenkins-AppDynamics-Plugin,230,1
houssoli,jenkins-connector,3640,3
houssoli,JerseyREST,116,1
hrqiang,sparklr-boot,97,1
hSpille,soccer-client,331,2
hudson2010,couchdb-lucene,3625,11
hudson2-plugins,artifactory-plugin,296,1
hudson2-plugins,blacklist-plugin,107,1
hudson2-plugins,build-timeout-plugin,116,2
hudson2-plugins,clover-plugin,175,4
hudson2-plugins,cobertura-plugin,171,1
hudson2-plugins,collabnet-plugin,1338,1
hudson2-plugins,cvs-plugin,443,5
hudson2-plugins,ec2-plugin,161,3
hudson2-plugins,email-ext-plugin,453,5
hudson2-plugins,git-plugin,1913,24
hudson2-plugins,jira-plugin,176,1
hudson2-plugins,jobcreator-tool,604,1
hudson3-plugins,accelerated-build-now-plugin,295,1
hudson3-plugins,analysis-collector-plugin,182,1
hudson3-plugins,analysis-core-plugin,520,2
hudson3-plugins,analysis-test-plugin,132,1
hudson3-plugins,ansicolor-plugin,144,1
hudson3-plugins,artifactory-plugin,322,1
hudson3-plugins,audit-trail-plugin,231,7
hudson3-plugins,backup-plugin,624,1
hudson3-plugins,batch-task-plugin,144,1
hudson3-plugins,buckminster-plugin,320,3
hudson3-plugins,checkstyle-plugin,248,1
hudson3-plugins,claim-plugin,236,6
hudson3-plugins,clone-workspace-scm-plugin,148,1
hudson3-plugins,clover-plugin,52,3
hudson3-plugins,cobertura-plugin,208,2
hudson3-plugins,collabnet-plugin,1060,1
hudson3-plugins,commons-jelly,1121,1
hudson3-plugins,commons-jelly-tags-define,152,1
hudson3-plugins,commons-jelly-tags-junit,132,1
huhlig,MR2Wordcount,192,1
huntervwang,acra,6169,18
hunts,swagger-springmvc,608,8
hwrdprkns,CloudAppJava,110,4
hybris,lunchtalk-performance,137,1
hybris,raml-validation-proxy,164,2
hybris,scm-sync-configuration-plugin,735,10
iamsireesh,Hibernate-Workshop,480,1
iamsireesh,SpringCore,300,1
ianbollinger,minecraft-blather,120,1
ICT4H,atomfeed-standalone,224,4
ifunsoftware,c3-tika-server,320,1
ijdickinson,jena-utils,100,1
ijdickinson,liddr,92,1
ijdickinson,rdf-order,80,1
ijdickinson,schemagen-maven,170,3
ilinkuo,ngwmn,229,2
ilyamirin,Anthophila,357,1
ilyamirin,DrizzleJDBC,1568,6
ilyamirin,ducking-robot,172,1
ilyamirin,republier-test,132,1
imagej,ij1-patcher,470,5
imagej,ij1-tests,4492,2
imagej,imagej-common,1291,10
imagej,imagej-legacy,1230,10
imagej,imagej-matlab,80,3
imagej,imagej-omero,528,7
imagej,imagej-ops,9580,24
imagej,imagej-plugins-commands,481,3
imagej,imagej-plugins-uploader-ssh,37,3
imagej,imagej-plugins-uploader-webdav,28,2
imagej,imagej-server,931,3
imagej,imagej-ui-swing,884,9
imagej,imagej-updater,377,6
imagej,imagej-usage,55,2
imyousuf,jgit-usage,108,1
indivisible-irl,HTTP-Proxy-Servlet,281,3
indvd00m,jsonrpc4j,656,33
INLHELL,DownloadManager,172,1
inovex,liferay-service-mock-generator,172,1
intltechventures,FizzBuzzEnterpriseEdition,431,13
iosentinel,SpatialSearch,239,1
iosphere,envinject-plugin,647,5
iosphere,git-client-plugin,185,3
iosphere,git-plugin,2853,94
iosphere,ios-device-connector-plugin,227,2
iosphere,junit-attachments-plugin,209,5
ipayy,java-encryption-lib,120,1
iPlantCollaborativeOpenSource,de-files,116,2
isel-leic-mpd,1314v-LI41D-LI61D,1128,1
it-agile,JimFlowJira,105,1
italianpride15,BitHub,506,7
I-TECH,openmrs-contrib-maven-plugin-distrotools,408,1
ivgiuliani,ormlite-jdbc,911,1
iVirtualDeveloper,browsermob-proxy,60,18
iVirtualDeveloper,web-client-benchmark,88,3
J2MTecnologia,frente_de_caixa,284,2
JabariHolder,junit,7384,54
jack10,connect4plus,3927,2
JacksonYY,Malayans.Module,140,0
jadianes,yhat-client,480,1
JamesA99,TwilioNotifier,170,1
jamescarr,camel-example,84,0
jamescarr,couchdb-lucene,2289,0
jamesdbloom,base_spring_mvc_web_application,260,1
jamesmorgan,LoginDemoWebService,168,1
jamesmorgan,PAF-Monkey,2561,2
JANCARLO123,junit,8603,79
JANCARLO123,SpringGratuito,188,1
jandrewthompson,mapper-magick,104,0
jandrewthompson,planit,640,0
janipasanen,JavaVerbalExpressions,273,9
jarlebh,libvirt-slave-plugin,136,1
jasalguero,GraphWalker-Examples,80,1
JasonStorey,maunbot,228,1
javaroot,design-principles,161,0
javaroot,greenhouse,4980,5
javaroot,spring-data-jpa,1342,13
javaroot,spring-mvc-showcase,639,5
JAVASOAT,Annotations,90,1
JAVASOAT,CreditCardValdator,109,2
JAVASOAT,IBatisTutorial1,91,1
JAVASOAT,MyBatisTutorial1,96,1
javierj,android-rss,194,3
jawi,jline2,2852,29
jawi,libdemoncore,160,1
jb38,cs474-simulation,6192,3
jbeerdev,RobolectricSample,7041,6
jbijoux,riak-hadoop,109,2
jClarity,agoncal-application-petstore-ee6,685,8
jClarity,epump,185,2
jClarity,hawkshaw,75,5
jClarity,jfx-mem,2746,3
jClarity,mjstack,126,2
jClarity,student-programme,140,1
jClarity,ThreadPools,7,2
jclehner,acra,2071,9
jcmuller,github-oauth-plugin,237,6
jcmuller,git-parameter,120,3
jcodagnone,onto1,172,1
jcodagnone,su-smack-xep-60,156,0
jcu-eresearch,fascinator-harvester-directory-name,272,2
jcu-eresearch,fascinator-shibboleth,263,3
jdbeutel,email-ext-plugin,309,1
jdbeutel,hudson-email-ext,466,0
jdbeutel,uh-casdemo,414,1
jdcorless,hellogitworld,272,2
jdmr,academia-portlet,776,1
jdmr,demo,308,1
jdmr,eliseo-portlet,688,1
jdmr,escuela,267,1
jdmr,escuelasabatica-portlet,176,1
jdmr,es-portlet,636,1
Jean-Emile,JDBM3,2699,10
jean-merelis,coffeepot-bean-wr,215,3
jean-merelis,coffeepot-br-sintegra,95,1
jean-merelis,coffeepot-br-sped-fiscal,373,3
jean-merelis,coffeepot-pos-tef,124,1
JEBailey,jzlib,651,4
JEBailey,Maven-CRX-Plugin,93,4
jeffcarroll,getglue-client,85,1
jefferys,playground,108,1
jeffpees,addtoCartTest,4136,1
jelford,richobjects,144,1
jet-cheng,b3log-symphony,820,4
jet-cheng,jetbrick-template,11127,2
jferna57,elasticsearch-analysis-phonetic,137,4
jhs,couchdb-lucene,3408,4
jiakuan,cascading.learn,122,2
jiakuan,cascading.utils,1105,1
jiakuan,elasticsearch-test,796,5
jiakuan,jcabi-jdbc,483,2
JIGD,testng-plugin-plugin,609,8
jimmyrengga,belajar-spring-data-jpa,75,1
jimomulloy,sip01,360,2
jimomulloy,sip02,356,1
jimomulloy,sip03,194,2
jimomulloy,sip04,240,1
jimomulloy,sip05,343,2
jimomulloy,sip06,443,1
jimomulloy,sip10,325,1
jimomulloy,spring-petclinic,1010,6
jjerrodtaylor,apiwrapper,164,1
jjerrodtaylor,toolkit,2197,1
jlindsey,java-semver,64,1
jmarley,connector.ibis,281,0
jmarley,translator.ibis,6909,2
jmarley,translator-solr,126,0
jmayaalv,mapo,1120,1
jnorthr,java-spock-test-sample,76,2
jntakpe,FLS,844,1
jocull,Java-Websockify,154,1
joe-l-bright,BlockChainTest,100,1
joerivandervelde,molgenis-genotype-reader,892,3
joerivandervelde,molgenis-lifelines,685,5
jogaco,s3s3mirror,112,2
johnament,arquillian-extension-jacoco,193,8
johnament,cdi-events,98,1
johnament,injectahvent,176,1
johnaohara,aesh,3085,10
johnaohara,jastow,666,7
johnaohara,jboss-as-controller-client-testcase,128,1
johnaohara,jboss-modules,2547,16
johnbhurst,concordion-excel-extension-tutorial,1269,3
johnbhurst,concordion-exception-translator-extension-demo,164,2
johnbhurst,concordion-logging-tooltip-extension-demo,173,2
johnbhurst,concordion-screenshot-extension-demo,426,2
johnbhurst,dbunit-samples,246,1
johnktims,querydsl-extra-bytes,144,1
johnpfield,fortressdemo2,738,3
johnpfield,psi-jee,144,1
johntconklin,jzmq,1642,60
Jojas,cucumber-jvm-example,75,2
Jojas,djackatron2,185,1
Jojas,KittyTwitter,162,4
jonnyro,git-client-plugin,2525,41
jonnyro,jenkins-inheritance-plugin,826,3
jonnyro,xunit-plugin,841,18
jonstewart,Rejistry,247,2
jopecko,logback-flume-ng,144,0
jopecko,metrics-guice,122,0
jorgenpt,android-emulator-plugin,513,11
jorgenpt,git-plugin,1799,51
josafasr,spr-mvc-hib,119,1
josafasr,swing-springjdbc-crud,142,1
joseignaciosg,ITBAr,104,0
joseignaciosg,OLAP-TP-Especial,717,6
joseignaciosg,PAWRealState,2380,4
joseignaciosg,sprint3paw,376,1
joseignaciosg,TPProtos2cuat2012,4579,3
joseph-a-ramirez-ii,welcome-world,116,1
josephtaylor,cities-in-transit,572,1
josephtaylor,ColorScheme,824,1
josephtaylor,nomenincerti,1828,1
joval,JDBM3,2811,11
jrdalpra,FrenchPress,1717,1
jrdalpra,liquibase-hibernate,215,4
jrdalpra,maven-jrebel-plugin,109,4
jrdalpra,petcatalog,788,3
jrdalpra,render,230,2
jrdalpra,spring-restbucks,418,1
jrdalpra,swagger4spring-web,148,3
jrdalpra,web-xml-merger-maven-plugin,192,1
jrgriffiniii,basex-api,9559,15
jrrickard,spring-data-jpa,2411,15
jryans,jless,1044,2
jsm,github-api,3715,24
jsm,github-oauth-plugin,607,17
Juanmcuello,pusher-java-client,2431,5
juanprq,spark-simple-api,164,1
judasn,fastjson,5399,8
judasn,mmseg4j-solr,335,1
julienchastang,charts4j,4673,2
julienchastang,idvbox,104,1
julienchastang,idv-maven,4288,1
julienchastang,VisAD,6530,2
justisr,worldguard,7559,31
jxc876,mvc,384,1
jxc876,mvn-groovy,144,1
jxc876,NoMySQL,955,0
jxc876,Selenium-Maven-Template,163,1
jxc876,spring-mvc-hibernate-skeleton,235,2
jxc876,spring-mvc-showcase,968,5
jxc876,spr-mvc-hib,157,2
jyking1986,dropwizard-configurable-assets-bundle,113,4
jyking1986,geohash-java,60,4
jyking1986,jdbi,11928,17
K2Media,fongo,290,1
K2Media,foursquare-api-java,439,1
k9mail,HtmlCleaner,1883,0
k9mail,jutf7,127,0
k9mail,jzlib,138,2
kajigga,unirest-java,256,4
kalw,iNotes-exporter,392,2
kamichidu,java-javaimport,772,1
kamichidu,java-lolivimson,443,2
kamichidu,java-ref-java,140,1
kape1395,jenkins-ditz-plugin,108,2
karahiyo,fluent-logger-java,409,4
karmanov,blackjack,216,1
KarolS,hOCR4J,284,1
kaspernj,EasyHttp,104,1
kayahr,gramath,716,1
kayahr,jasdoc,1114,2
kayahr,jollada,1084,1
kayahr,jsoup,2198,12
kayahr,math-taglib,123,1
kayahr,oneinstance,112,1
kbeathanabhotla,jersey-sample,160,0
kbeathanabhotla,selenium-automation-framework,3248,0
kbeathanabhotla,timesheet,192,0
keesun,demo-spring-boot-java,356,1
keesun,mod-socket-io,7475,3
keesun,spring-data-jpa,877,5
keithdmoore,aerogear-unifiedpush-java-client,334,12
KepaJRodriguez,add_ehri_ids_to_ead_nodes,172,1
KepaJRodriguez,add-paths-to-ead-nodes,208,1
KepaJRodriguez,bundesarchivdates,140,1
KepaJRodriguez,ehri-indexer,802,4
KepaJRodriguez,geotranslation,120,1
KepaJRodriguez,hd-vspacebuilder,472,1
KepaJRodriguez,hd-webapp,5736,1
KepaJRodriguez,identify_main_identifier,192,1
KepaJRodriguez,lucene-skos,88,1
KepaJRodriguez,lucene-skos-ehri,1400,1
KepaJRodriguez,termexpansion,236,1
kfgodel,bean2bean,754,1
kfgodel,diamond,895,1
kfgodel,fluentizer,44,1
kfgodel,objectmapper,348,1
kfgodel,toString,89,1
kframework,mpfr-java,269,1
kh2ouija,g2dm,176,1
kh2ouija,gilded-rose-kata,104,1
kh2ouija,string-calculator-kata,112,1
kh2ouija,trip-service-kata,1478,6
khellan,storm-yarn,93,3
khenriks,Bukkit,3423,67
kimble,elastic-search-sandbox,108,1
kimble,java7-sandbox,96,1
kimble,NoCommons,1990,6
kinow,bancotalentos,936,0
kinow,commons-pool,488,1
kinow,deploy-plugin,239,10
kinow,filesystem_scm-plugin,120,3
kiranreddykasa,springrest-angularjs,381,3
kiselev-dv,o5m4j,212,1
kjahan,lda,22,1
kjahan,twitter-mining,356,1
kjellski,Bukkit,3642,67
kknd22,drools-hello-world,108,1
klwork,vaadin-simple,4040,0
kmmanu,bsimple,348,3
kmmanu,ddd-leaven-v2,658,1
kmmanu,ESLab,80,1
kmmanu,MvcXmlFree,112,1
kmmanu,rock-paper-scissors-in-java,122,1
kmmanu,SpringCucumber,148,1
kmmanu,SpringJPASample,23,1
kmmanu,SpringMVC,116,1
kmmanu,spring-mvc-31-demo,164,2
kmmanu,SpringMySQLJDBC,116,1
kmmanu,spring-test-mvc,1050,13
kmmanu,UnitTest,144,1
knusul,second-tdd-experiment,100,1
knusul,tdd-experiment,96,1
koi8r,Challenge,30,1
kojiromike,git-client-plugin,758,18
konvenit,github-api,504,5
KostasChr,EscapeFilterBubble,228,1
KostasChr,FillBasket,164,1
KostasChr,TopicBrowser,296,1
kowsercse,GovForms,2680,1
kowsercse,hello-derby,156,1
kowsercse,mockito,100,1
kpfleming,jenkins-ec2-plugin,782,18
kpfleming,jenkins-github-plugin,183,17
kpfleming,jenkins-git-plugin,1805,62
kpfleming,jenkins-remoting,1541,19
kptran,sql2o,678,2
kr0nicas,Localiza,116,1
kr0nicas,LocalizaApp,116,0
krisk24,my-own-storm,108,0
kristjanr,energycalc,132,0
kristjanr,ForecastBusterServer,344,1
ksclarke,ezid,147,2
ksclarke,freelib-bagit,900,1
ksmiley,Rhombus,432,2
kukelekuuk00,mcMMO,12455,32
kukelekuuk00,worldguard,4116,30
kvick,publish-over-ssh-plugin,483,1
laiweiwei,crawler,348,4
laiweiwei,demo-maven-config,73,0
laiweiwei,demo-order,89,1
laiweiwei,DiskLruCache,150,6
laiweiwei,eweb4j-dwz,183,1
laiweiwei,eweb4j-framework,2516,3
laiweiwei,eweb4j-solidbase,438,1
laiweiwei,markdownj,1482,5
langmi,khs-spring-batch-report-writer,201,2
langmi,spring-batch-examples-basics,376,2
langmi,spring-batch-examples-complex,194,1
langmi,spring-batch-examples-listeners,140,1
langmi,spring-batch-examples-playground,248,2
langmi,spring-batch-examples-readers,456,1
langmi,spring-batch-examples-writers,136,1
larryfang,classloader-leak-prevention,117,1
larryfang,maven-cuke4duke-jump-start,225,1
laserchicken,kwic,264,1
lat-lon,j2ep,410,2
laxman954,GeoIP2-java,2957,6
lborie,AppImport,424,1
lborie,DemangeActivator,456,6
lborie,StartEndpoint,232,1
lbrackspace,java-cloudfiles,3210,8
lbrackspace,java-keystone,1764,1
lbrackspace,jdeb,1372,9
lbrackspace,stingray-rest-client,656,4
ldangelo,orangeleap-client,120,1
leachryanb,hellogitworld,160,1
leahxschmidt,LittleProxy,916,9
leahxschmidt,littleshoot-stun-client,237,2
leahxschmidt,littleshoot-stun-stack,368,1
leahxschmidt,littleshoot-util,279,1
leahxschmidt,littleshoot-xmpp,272,2
leanix,leanix-sdk-java,15935,9
leanix,smartfacts-sdk-java,122,0
learnin,jax-rs-example-with-javaee7,116,1
learnin,junit-example,136,1
leedavidr,docx4j-ImportXHTML,556,4
leedm777,composite-key-bug,100,1
leonardocordeiro,auron,432,0
leourbina,jdeb,1904,14
lesmendezc,Fizz_Buzz,116,1
lgadawski,benchmarkingDrools,320,1
lgadawski,cloverage-maven-plugin,281,1
lgadawski,drools-core-with-db,4572,1
lgadawski,droolsUtil,756,1
lgadawski,test-polyglot-project,176,1
liamjbennett,Maven-License-Verifier-Plugin,1043,1
liamjbennett,promoted-builds-plugin,525,17
lichengwu,batch,336,1
lichengwu,fastjson,11490,6
lichengwu,gaara,568,1
lichengwu,jvm,156,1
lichengwu,utils,516,1
lindenbaum,maven-erlang-plugin,8714,2
link-nv,oath,128,1
LinuxBozo,jenkins-sonar-plugin,503,5
liquidm,java-util,590,7
LisaMM,bierhuis,444,1
LisaMM,brouwerweb,276,1
LisaMM,jenkinsExercise,160,1
LisaMM,SpringWeb,376,1
liweinan,acme-subsystem,108,1
liweinan,arq-tt,128,1
liweinan,ett-integration,122,2
liweinan,image-detect,128,1
liweinan,jackson-core,1675,5
liweinan,jackson-module-jaxb-annotations,300,4
liweinan,javaee,295,1
liweinan,java-snippets,349,1
liweinan,jaxb-hashmap,100,1
lkwg82,android-backup-extractor,185,2
lkwg82,enforcer-maven-plugin,232,1
lkwg82,enforcer-rules,344,1
lkwg82,lint-maven-plugin,571,6
lkwg82,PoC_reverse-cache-ahead-proxy,156,1
lkwg82,PoC_SpringMXBean,112,1
lkwg82,versions-maven-plugin,472,1
lkwidzinski,RegisterOfficeMavenJDBC,125,0
lkwidzinski,zadanie2,596,0
lmc-eu,applyalter,291,2
lopezpdvn,sip03,60,2
lopezpdvn,sip04,60,1
louishe,lqt,7445,2
louishe,wsc,2879,9
lsamayoa,java-technical-test,120,1
LuisMoralesAlonso,batch-import,610,6
LuisMoralesAlonso,datacube,4518,3
LuisMoralesAlonso,imdb,64,2
luiz,aztec-java,268,1
luiz,joda-time,13058,10
lukecampbell,elasticsearch-river-couchdb,100,4
lulufei,acra,3429,8
luoqii,android-travis-ci-example,123,2
luoqii,fastjson,11506,6
lviggiano,GoogleAuth,68,1
lviggiano,JBake,2804,3
lviggiano,jdbi,11122,13
lviggiano,mgwt,3768,5
lviggiano,sales-taxes,156,1
m3dev,curly,92,4
m3dev,global-session-filter,346,1
m3dev,memcached-client-facade,159,1
m3dev,multilane,321,1
m3dev,openid4java-memcached-association-store,137,1
m3dev,scalaflavor4j,625,1
M4GiK,Distributed-Transactions,276,1
machinelearner,hadoop-utils,422,2
machinelearner,mr_twitter_processing,112,1
madhusudancs,hyracks-extsort-benchmark,104,1
Madusudanan,GenericTree,96,1
mageshbk,httpserver,329,4
mageshbk,soap,863,1
maguro,crypto4j,108,1
maguro,lua4j,114,1
maleficarum,mule-calixta,348,1
maleficarum,mule-hazelcast,3212,1
maleficarum,mule-rabbitmq,476,1
managedit,jclouds-plugin,325,6
manikantag,android-apk-parser,1214,1
MansurAshraf,uncommon-configuration,460,1
mapr,hcatalog,5247,3
mapr,httpfs,281,8
maqinjun,java-apns,1385,17
maqinjun,pushy,2534,5
marcomorain,joda-time,12691,5
marcosvpcortes,jersey-mvc-jasper,216,1
mariusae,commons-pool,410,1
mariusae,netty,5455,22
markmo,JPA-NestedSet,133,3
martinlau,metrics-spring,1110,12
martinusadyh,aplikasi-bukualamat,818,1
martoe,jenkins-plugin-info-plugin,501,7
martoe,schemacopy,4224,0
martoncsukas,spr-mvc-hib,129,1
masreis,controla-preco,154,1
masreis,e-commerce,3648,2
masreis,e-commerce-jee,99,1
masreis,exemplos-livro-lucene,12765,1
masreis,modulo-controle-acesso,1128,1
masreis,mongodb-logger,180,1
masreis,tutorial-hibernate,148,1
masreis,wikipedia-offline,37,1
mastayoda,StormBoltConnector,120,1
masudaK,otumin,2108,1
matlockx,de.flapdoodle.embed.mongo,1598,20
matthewlsawyer,cache2,346,1
mattiasbpersson,external-resource-dispatcher-plugin,320,3
mattiasbpersson,jacoco-plugin,786,14
mattjmorrison,cobertura-plugin,1455,4
MattLud,git-plugin,2867,98
MattLud,htmlpublisher-plugin,106,12
MattLud,mercurial-plugin,657,11
MattNapsAlot,ec2-plugin,332,13
matttproud,groningen,808,6
matttproud,java_accepts,172,1
matttproud,java_quantile_estimation,368,2
maudineormsby,sauce-ci-java-demo,120,1
maxammann,BlockRegionBlock,100,1
maxammann,CommandLib,320,1
maxgfaraday,elasticsearch,80,119
MC-Escherichia,jdelaunay,6440,3
mcmonster,bauble,303,1
mcmonster,unipoint,3332,1
mcs,badminton-ladder,644,1
mcs,JUnit4---XmlUnit---Spring---Velocity,112,1
mcs,otr-java-mirror-core,152,1
mcs,Stripes-SpringTesting,224,1
mcs,Tree-menu,116,1
mdamour1976,pentaho-mondrianschemaworkbench-plugins,7695,13
mdewey,TinCanJava,266,3
medcl,elasticsearch-analysis-mmseg,1032,3
medcl,elasticsearch-analysis-paoding,1784,1
medcl,elasticsearch-analysis-pinyin,12685,7
medcl,elasticsearch-analysis-stconvert,167,2
medcl,elasticsearch-analysis-string2int,55,2
medcl,elasticsearch-carrot2,153,1
medcl,elasticsearch-filter-redis,112,1
meskis,GIS1,400,1
meskis,GIS2,256,1
meti663,java-api-wrapper,1087,4
meti663,junit,76,56
mexekanez,springexample,10060,1
meyarivan,fhrtools,312,1
mfh,elasticsearch,120,94
mgiovenco,tree-traverser,8,1
mgm-tp,perfload-agent,59,3
mgm-tp,perfload-loadprofiles,281,2
mgm-tp,perfload-logging,28,3
mgm-tp,perfload-perfalyzer,760,2
mgm-tp,perfload-perfmon,3630,3
mguindin,cryptochat,112,1
michaelarshinov,DSaS,363,3
michaelarshinov,scribe-java,981,39
michaelarshinov,universal-analytics-java,64,0
michaelbprice,tfs-plugin,11986,9
MichaelPereira,git-plugin,2713,92
MichaelPereira,matrix-combinations-plugin,96,2
micromata,javaapiforkml,752,3
micromata,jiraRestClient,632,1
micromata,projectforge-common,149,1
micromata,projectforge-continuous-db,226,2
micromata,projectforge-excel,107,1
micromata,projectforge-jax-rs,77,1
miguno,kafka-spout,208,0
MikeHoffert,easy-append,1364,1
mikiobraun,java-terminal,75,0
mikiobraun,jline2,660,1
mikiobraun,jline-fork,362,1
mikiobraun,liblinear-java,274,3
MikkelTAndersen,emma-plugin,444,5
MikkelTAndersen,Java-WebSocket,3651,18
mkotsbak,jackbox,1079,4
mlc,mimecraft,187,3
mneedham,batch-import,680,4
mneedham,datagraph338,123,1
mneedham,dummy-unmanaged-extension,24,2
mneedham,hierarchy,132,1
mnunberg,cbc-java,108,1
mnunberg,CouchbaseMock,1222,5
mocleiri,externals-maven-plugin,608,1
mocleiri,github-api,1257,4
mocleiri,github-oauth-plugin,1017,6
mocleiri,git-workflow-maven-plugin,188,1
mocleiri,graph-maven-plugin,2198,3
moisespsena,vraptor-listenerexecution,104,1
molindo,elastic-compass,1396,1
molindo,elasticsearch-osem,271,2
molindo,esi4j,414,2
molindo,jetcd,240,5
molindo,maven-graph-plugin,882,1
molindo,molindo-amazonclient,164,1
molindo,molindo-dbcopy,256,1
molindo,molindo-mysql-collations,156,1
molindo,molindo-mysql-collations-lib,1996,1
molindo,molindo-notify,796,2
molindo,molindo-utils,432,2
molindo,molindo-wicket-utils,420,2
molindo,scrutineer,307,5
molindo,wicketstuff-merged-resources,602,2
momenator,chat-server,268,0
mooman219,Bukkit,4054,93
moserp,code-coverage-example,92,1
motlin,junit,8330,80
mpobrien,guiceymongo-generator,140,2
mrioan,kitchensink-example,131,3
mrmarkyb,XmlBuilder,132,2
mss,java-netstat,152,1
mub,spring-mvc-showcase,766,5
mub,zookeeper-book-example,233,1
MurphyL,xp,216,2
mwaylabs,dynjs,96,22
mwaylabs,JmDNS,1737,2
mwoodiupui,DSpace-installer,144,1
myclabs,CarbonDB-reasoner,802,2
mypark,pig-dynamodb,111,1
n1hility,jandex,1126,14
n1hility,jboss-dmr,829,3
n1hility,jboss-ejb-client,1242,5
n1hility,jboss-invocation,560,3
n1hility,jboss-logmanager,658,6
n1hility,jboss-modules,2031,17
n1hility,jboss-msc,1196,7
n1hility,jboss-remote-naming,316,7
n1hility,jboss-threads,222,2
n1hility,playground,139,1
n1hility,staxmapper,52,3
n2uitive,jedis,581,18
N3TWORK,bytebuffer-collections,151,1
N3TWORK,druid-api,290,6
N3TWORK,emitter,178,6
N3TWORK,extendedset,366,2
N3TWORK,http-client,238,6
N3TWORK,java-util,588,8
n3wtron,jwtest,576,2
n3wtron,log4all-client-java,196,1
n3wtron,log4all-client-log4j,237,2
n3wtron,m2release-plugin,316,9
narrowtux,CerealizationFX,118,4
narrowtux,SimpleSave,244,4
NathanGRomano,play-akismet,84,1
ncb000gt,dt-utils,112,1
ndagrawal,DroidAtScreen1,609,4
nejette,location-voiture,180,0
nejette,location-voiture-spring-jsf,132,1
nejette,template-JSF-CDI-EJB,144,1
nejette,TP-CentreFormation,104,1
neo4j,docs-maven-plugin,182,4
neo4j,license-maven-plugin,407,2
neo4j,licensing-maven-plugin,212,2
neo4j,maven-skin,147,3
neo4j,windows-wrapper,744,10
neo4j-contrib,authentication-extension,1336,8
neo4j-contrib,changes-maven-plugin,154,1
neo4j-contrib,cypher-dsl,616,14
neo4j-contrib,cypher-http-examples,98,1
neo4j-contrib,fast-http,508,2
neo4j-contrib,geoff-plugin,248,1
neo4j-contrib,graph-collections,1979,10
neo4j-contrib,gremlin-plugin,727,11
neo4j-contrib,java-rest-binding,902,17
neo4j-contrib,javascript-plugin,1133,3
neo4j-contrib,legacy-index,716,9
neo4j-examples,neo4j-spatial-template,99,1
Neonunux,calao,3463,3
NerdPhysics1,iproxy,521,1
nerds-odd-e,elasticsearch-lang-javascript,308,4
nerds-odd-e,MockingDemo,109,0
nerds-odd-e,User-Registration-and-Login-Exercise,208,0
nethad,clustermeister-examples,679,1
netstart,JUnitFindBugsWrapper,124,1
netstart,JUnit-PMD-Test-Wrapper,3531,1
neurolit,db2triples,362,3
nickfun,java-heroku,428,1
nickfun,javarest,180,1
nicolas-f,CTS,2775,1
nicolas-f,jdelaunay,7965,2
nicolas-f,jsi,3125,2
nicosteiner,jasmin,281,1
nigel-v-thomas,embargobydate,88,1
nigel-v-thomas,SOAProvisioningAPI,128,1
Nightgunner5,Bukkit,3501,66
nikelin,embedded-servlet-3.0,67,1
nikelin,gwtp-generator-plugin,128,1
niktrix,mycp,64,2
nimeia,Hetty,8008,2
