User,Repo,Size (KB),Number of Contributors
avisi,techday-cucumber,136,0
avisi,techday-nosql-mongodb,116,0
awhawks,usb4java,7632,2
b,kafka-websocket,398,2
b0noI,Artificial-Intelligence-FrameWork,4296,1
b0noI,Bencode,608,1
b0noI,CommonAlgorithms,180,1
b0noI,DateMe,259,1
b0noI,JavaMetaLib,248,1
b0noI,SkyLine__harvester,208,1
b3log,b3log-rhythm,417,3
b3log,b3log-symphony,40265,13
B3Partners,tercera-soap-client,156,1
babilen,jackson-dataformat-yaml,1451,5
barkhorn,GildedRose,122,3
barkhorn,poker-kata-java,172,1
barkhorn,RainLevels,168,1
barrbrain,snappy,1425,6
bartoszfilipowicz,android-schema-utils,164,1
bartoszfilipowicz,sqlitemaster,147,1
bbalajisg,mapreduce,112,1
bchetty,licenceCheck,140,1
bchetty,richCharts,112,1
bchetty,shooter,128,1
Bedol,ProjektMPR,1596,0
belano,jbehave-poc,267,1
belano,jbehave-spring,124,1
belph,CraftBukkit,6001,122
benjamincburns,delegated-saml-authentication,248,1
bennidi,blox,452,1
bennidi,daoism,416,1
bennidi,eventbus-performance,4207,1
bennidi,lab,32,1
bennidi,mbassador,2433,16
bennidi,mbassador-spring,38,2
bennidi,pips,336,1
bennidi,xpress,136,1
benqian,FizzBuzzEnterpriseEdition,199,10
bevenky,kelpie,979,1
bfg,jetty-nosql-memcached,195,0
bfg,pushy,3239,5
bfontaine,Doto,128,1
bgfaulk,Faulk-Family-Budget,176,1
bhabegger,anyurl,128,1
bhabegger,esstats,3724,1
bhabegger,json-n-xml,393,1
bilal1976,Amazon-DynamoDB-Demo,142,1
binkley,lifegycle,484,3
binkley,service-binder,329,1
binkley,system-rules,504,4
binwiederhier,sardine,10609,5
BioVeL,drf-workflow,2960,1
biubiu,DataStructure,3772,1
biubiu,spring-social-weibo,348,2
biubiu,Test,187,1
biubiu,unicorn,244,1
bkleinen,GildedRose,144,3
Blackmint,java-openstack-swift,263,2
bleehome,fastjson,7424,4
bleehome,javaqq,1597,1
b-long,effective-java-examples,227,0
bloomberg,luwak,7506,10
Bludge0n,android-apk-parser,1605,1
blued00r,Bukkit,3513,67
blued00r,worldedit,5791,38
blxbrgld,ALAPL,245,1
blxbrgld,escenic-syndication-converter,945,1
blxbrgld,list-spring-mvc,4715,1
bmchild,gitmodules,124,1
bmchild,pdf-stamp,136,1
bmchild,springmvc,188,1
bmchild,springmvc-commando,112,1
bneijt,enerdy,128,1
bneijt,javap-json-maven-plugin,136,1
bobfreitas,bukkit-ouch-plugin,128,1
bobfreitas,flume-logs,140,1
